communityn,detailaddr,area_id,districtna,zone_numbe,buildyear,carparkcou,buildingar,plotratio,pmfee,developer,greeningra,totalhouse,totalbuild,standard_p,specialpri,residentia,longitude,latitude
瑞海家园二区,北京市大兴区宏旭路瑞海家园二区,14,大兴区,110115,2000,700,194798.09,1.5,0.63,北京鸿坤伟业房地产开发有限公司,40,1506,28,41227, ,住宅,116.3256766,39.7852339
大井南里,北京市丰台区丰体东路5号大井南里,6,丰台区,110106,1990, ,30579.11,1.5,0.55,北京首开天鸿集团有限公司,33,570,7,50240, ,住宅,116.2664583,39.86482844
华亭嘉园,北京市朝阳区北四环中路6号华亭嘉园,5,朝阳区,110105,1998,1100,382675.8,6.52,3,华润置地股份有限公司,40,1454,6,71498, ,高档公寓,116.3791953,39.98533685
和谐家园一区,北京市昌平区龙锦三街和谐家园一区,13,昌平区,110114,2006,675,191296.72,1.57,0.64,北京三元盛泰房地产开发有限公司,35,1440,25,42997, ,住宅,116.3541886,40.08427152
黑山北小街4号院,北京市门头沟区黑山北小街4号院,9,门头沟区,110109,1987, ,11709.83,1.6,1.9,北京市门头沟区建设开发公司,30,140,3,32626, ,住宅,116.0874623,39.94157826
武夷花园紫荆雅园,北京市通州区通胡大街3号武夷花园紫荆雅园,11,通州区,110112,2003,1243,200712.54,2.2,0.65,北京武夷房地产开发有限公司,40,1414,16,50255, ,住宅,116.6956625,39.91821465
青云南区社区,北京市海淀区北三环西路40号青云南区社区,8,海淀区,110108,2005,366,129446.2,3.5,0.69,青云工厂,30,822,13,93217, ,住宅,116.3205122,39.9637464
裕龙花园五区,北京市顺义区裕龙二街裕龙花园五区,12,顺义区,110113,2003,1300,129016.22,1.1,1.6,北京大龙伟业房地产开发股份有限公司,30,1368,22,39489, ,住宅,116.6710421,40.12104959
光华里小区,北京市朝阳区光华路光华里小区,5,朝阳区,110105,1956,50,396138.1,4.9,0.5,北京首华建设经营有限公司,30,1623,34,83742, ,住宅,116.448019,39.91006096
复兴路36号院,北京市海淀区复兴路36号院,8,海淀区,110108,1987,80,11156.94,2.6,2,无,30,256,2,87459, ,住宅,116.2603844,39.90584234
